playDispNm,teamAbbr,teamLoc,playStat,playMin,playHeight,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playFTA,playFTM,playTRB,opptAbbr,opptRslt
Kyrie Irving,BOS,Home,Starter,36,75,18,9,6,0,0,5,16,6,7,5,4,DET,Win
Marcus Morris,BOS,Home,Starter,23,81,13,2,2,0,1,4,11,5,1,0,4,DET,Win
Daniel Theis,BOS,Home,Bench,10,81,12,0,1,0,0,2,4,4,5,4,2,DET,Win
Al Horford,BOS,Home,Starter,34,82,11,3,1,1,2,3,8,5,0,0,5,DET,Win
Jayson Tatum,BOS,Home,Starter,35,80,10,4,1,0,1,5,7,3,2,2,3,DET,Win
Jaylen Brown,BOS,Home,Starter,33,79,9,1,0,0,0,2,10,4,2,0,6,DET,Win
Damian Lillard,POR,Away,Starter,38,75,32,5,3,1,0,0,20,10,11,11,1,NY,Loss
Pat Connaughton,POR,Away,Starter,26,77,17,2,0,0,0,4,9,7,0,0,2,NY,Loss
C.J. McCollum,POR,Away,Starter,40,75,12,2,2,0,1,4,15,4,2,2,7,NY,Loss
Jusuf Nurkic,POR,Away,Starter,30,83,12,6,2,0,0,1,12,5,4,2,9,NY,Loss
Evan Turner,POR,Away,Bench,20,79,10,1,0,1,1,1,10,4,2,2,3,NY,Loss
Noah Vonleh,POR,Away,Starter,31,82,8,0,1,1,0,6,3,2,6,4,12,NY,Loss
Shabazz Napier,POR,Away,Bench,18,73,5,2,0,3,0,1,5,2,0,0,2,NY,Loss
Kristaps Porziņģis,NY,Home,Starter,33,85,22,1,3,1,1,4,16,6,9,8,7,POR,Win
Tim Hardaway Jr.,NY,Home,Starter,38,78,16,1,0,1,0,3,18,6,4,2,4,POR,Win
Courtney Lee,NY,Home,Starter,36,77,14,2,0,1,0,1,9,5,5,4,0,POR,Win
Kyle O'Quinn,NY,Home,Starter,25,82,8,3,1,0,0,1,8,4,0,0,11,POR,Win
Michael Beasley,NY,Home,Bench,14,82,7,0,1,0,0,2,7,3,2,1,7,POR,Win
Frank Ntilikina,NY,Home,Bench,20,77,6,1,1,0,0,2,11,3,0,0,1,POR,Win
Jarrett Jack,NY,Home,Starter,21,75,5,3,2,0,0,0,7,2,0,0,3,POR,Win
Isaiah Whitehead,BKN,Away,Bench,28,77,24,3,5,1,0,5,16,10,4,3,3,HOU,Win
Spencer Dinwiddie,BKN,Away,Starter,31,78,14,7,0,0,0,2,14,6,1,0,4,HOU,Win
Caris LeVert,BKN,Away,Starter,29,79,13,6,2,2,0,3,14,6,2,1,2,HOU,Win
Sean Kilpatrick,BKN,Away,Bench,28,76,12,2,1,0,0,2,12,3,4,4,6,HOU,Win
Joe Harris,BKN,Away,Starter,28,78,10,1,2,0,0,1,11,4,0,0,4,HOU,Win
Tyler Zeller,BKN,Away,Starter,17,84,10,3,0,0,1,1,6,4,1,1,1,HOU,Win
Quincy Acy,BKN,Away,Bench,21,79,7,0,0,0,0,1,6,2,3,3,6,HOU,Win
James Harden,HOU,Home,Starter,36,77,37,8,4,2,2,2,20,13,4,3,10,BKN,Loss
Clint Capela,HOU,Home,Starter,28,82,20,3,2,0,2,4,12,8,5,4,6,BKN,Loss
Ryan Anderson,HOU,Home,Starter,26,82,13,1,1,0,0,1,9,5,1,0,2,BKN,Loss
Eric Gordon,HOU,Home,Bench,29,75,12,1,1,0,0,2,15,5,1,1,4,BKN,Loss
Trevor Ariza,HOU,Home,Starter,29,80,11,0,1,0,0,2,9,4,0,0,6,BKN,Loss
P.J. Tucker,HOU,Home,Bench,21,77,9,1,2,2,0,4,5,3,0,0,2,BKN,Loss
Luc Richard Mbah a Moute,HOU,Home,Bench,20,80,6,2,1,2,0,1,4,1,4,3,1,BKN,Loss
Wesley Matthews,DAL,Away,Starter,33,77,19,2,2,0,0,3,12,7,0,0,2,SA,Win
Dennis Smith,DAL,Away,Starter,28,75,19,5,2,0,0,1,17,9,0,0,1,SA,Win
Jose Barea,DAL,Away,Bench,22,72,16,7,1,3,0,1,12,7,0,0,4,SA,Win
Harrison Barnes,DAL,Away,Starter,36,80,13,4,2,0,0,2,14,3,6,6,8,SA,Win
Devin Harris,DAL,Away,Bench,26,75,13,1,0,0,0,1,8,5,0,0,5,SA,Win
Dirk Nowitzki,DAL,Away,Starter,26,83,11,2,1,0,0,3,7,4,2,2,4,SA,Win
Dwight Powell,DAL,Away,Bench,20,83,10,1,0,4,0,1,5,3,9,4,5,SA,Win
LaMarcus Aldridge,SA,Home,Starter,38,83,33,3,0,2,3,3,19,13,7,7,10,DAL,Loss
Pau Gasol,SA,Home,Starter,35,84,25,4,0,1,0,2,14,9,4,4,6,DAL,Loss
Kyle Anderson,SA,Home,Starter,34,81,12,5,3,2,0,2,10,4,6,4,10,DAL,Loss
Danny Green,SA,Home,Starter,34,78,12,5,0,1,2,1,6,4,2,2,5,DAL,Loss
Patrick Mills,SA,Home,Bench,28,72,12,5,2,0,0,2,10,4,2,2,2,DAL,Loss
Bryn Forbes,SA,Home,Bench,19,75,11,0,0,0,0,1,8,4,0,0,1,DAL,Loss
Tony Parker,SA,Home,Starter,14,74,6,4,0,0,0,1,7,3,0,0,0,DAL,Loss
Willie Cauley-Stein,SAC,Away,Bench,29,84,19,6,2,1,2,3,9,8,4,3,8,GS,Loss
George Hill,SAC,Away,Starter,31,74,16,1,1,0,0,1,10,6,0,0,2,GS,Loss
Garrett Temple,SAC,Away,Starter,30,78,14,3,3,1,1,3,7,4,5,4,3,GS,Loss
Frank Mason,SAC,Away,Bench,25,71,14,4,0,0,0,0,10,5,2,2,3,GS,Loss
Bogdan Bogdanovic,SAC,Away,Bench,22,78,12,3,2,0,0,1,7,4,5,4,2,GS,Loss
Zach Randolph,SAC,Away,Starter,22,81,11,2,1,1,0,1,11,4,4,3,6,GS,Loss
Skal Labissière,SAC,Away,Starter,15,83,9,1,2,0,2,3,7,4,1,1,4,GS,Loss
Klay Thompson,GS,Home,Starter,33,79,21,2,1,1,1,4,20,7,2,2,5,SAC,Win
Patrick McCaw,GS,Home,Starter,33,79,16,7,2,4,1,1,8,5,4,4,3,SAC,Win
Draymond Green,GS,Home,Starter,39,79,14,8,2,1,0,0,15,4,4,2,4,SAC,Win
Andre Iguodala,GS,Home,Bench,26,78,11,3,2,0,0,0,5,4,2,1,3,SAC,Win
Shaun Livingston,GS,Home,Bench,18,79,10,1,0,0,1,4,6,5,0,0,1,SAC,Win
Omri Casspi,GS,Home,Starter,30,79,9,1,0,0,0,3,7,4,0,0,4,SAC,Win
David West,GS,Home,Bench,17,81,8,1,0,1,1,0,6,4,0,0,7,SAC,Win
Kentavious Caldwell-Pope,LAL,Away,Starter,37,78,29,1,1,3,0,1,28,12,0,0,6,LAC,Win
Brandon Ingram,LAL,Away,Starter,22,81,17,1,4,0,1,5,10,6,9,5,5,LAC,Win
Jordan Clarkson,LAL,Away,Bench,26,77,17,5,2,0,0,0,12,8,0,0,8,LAC,Win
Kyle Kuzma,LAL,Away,Bench,20,81,15,3,3,0,0,2,7,5,2,2,2,LAC,Win
Julius Randle,LAL,Away,Bench,24,81,11,1,3,0,1,5,5,2,10,7,3,LAC,Win
Larry Nance Jr.,LAL,Away,Starter,30,80,9,0,0,4,1,5,7,4,1,1,8,LAC,Win
Brook Lopez,LAL,Away,Starter,16,84,5,1,0,0,2,4,8,2,2,1,1,LAC,Win
Lou Williams,LAC,Home,Starter,38,74,42,3,4,1,0,2,21,12,14,14,4,LAL,Loss
Blake Griffin,LAC,Home,Starter,36,82,26,6,3,0,0,2,21,9,6,5,11,LAL,Loss
Austin Rivers,LAC,Home,Starter,38,76,19,6,3,1,0,2,16,7,5,4,8,LAL,Loss
DeAndre Jordan,LAC,Home,Starter,31,84,9,0,5,1,0,4,4,3,3,3,9,LAL,Loss
C.J. Williams,LAC,Home,Bench,16,77,7,2,0,0,0,1,4,3,0,0,1,LAL,Loss
Sam Dekker,LAC,Home,Bench,15,81,6,0,0,1,1,0,4,2,2,2,6,LAL,Loss
Wes Johnson,LAC,Home,Starter,29,79,4,0,0,1,1,5,7,2,0,0,1,LAL,Loss
Dion Waiters,MIA,Away,Starter,34,76,21,7,4,0,0,0,19,8,3,2,1,CLE,Win
Bam Adebayo,MIA,Away,Bench,18,82,19,2,0,0,1,0,7,7,5,5,6,CLE,Win
Josh Richardson,MIA,Away,Starter,27,78,15,2,2,1,0,3,9,6,0,0,2,CLE,Win
James Johnson,MIA,Away,Bench,32,81,14,3,3,1,1,1,11,6,1,0,3,CLE,Win
Hassan Whiteside,MIA,Away,Starter,19,84,11,0,1,2,1,3,10,5,3,1,14,CLE,Win
Goran Dragić,MIA,Away,Starter,23,76,7,4,0,1,0,2,5,1,8,5,2,CLE,Win
Justise Winslow,MIA,Away,Starter,19,78,5,2,2,0,0,4,10,2,0,0,4,CLE,Win
Kevin Love,CLE,Home,Starter,25,82,38,2,3,2,0,0,16,10,17,14,9,MIA,Loss
LeBron James,CLE,Home,Starter,28,80,21,6,2,5,1,1,16,10,1,0,12,MIA,Loss
Dwyane Wade,CLE,Home,Bench,28,76,17,4,2,2,0,1,16,8,0,0,5,MIA,Loss
J.R. Smith,CLE,Home,Starter,42,78,12,2,0,1,0,1,13,5,1,0,5,MIA,Loss
Kyle Korver,CLE,Home,Bench,27,79,11,1,0,0,0,1,8,4,0,0,2,MIA,Loss
Jeff Green,CLE,Home,Bench,27,81,6,2,1,0,1,3,4,2,2,2,4,MIA,Loss
Channing Frye,CLE,Home,Bench,21,83,2,1,2,1,0,2,4,1,0,0,4,MIA,Loss
Devin Booker,PHO,Away,Starter,33,78,33,4,3,1,1,0,23,10,10,8,9,CHI,Loss
T.J. Warren,PHO,Away,Starter,40,80,25,1,2,1,1,3,20,10,4,4,7,CHI,Loss
Tyler Ulis,PHO,Away,Starter,31,70,14,7,4,1,0,0,9,5,5,3,5,CHI,Loss
Alex Len,PHO,Away,Bench,30,85,13,1,2,0,0,0,10,6,2,1,18,CHI,Loss
Troy Daniels,PHO,Away,Bench,15,76,9,1,0,0,0,0,7,3,0,0,1,CHI,Loss
Mike James,PHO,Away,Bench,17,73,5,7,2,1,0,2,8,2,0,0,1,CHI,Loss
Marquese Chriss,PHO,Away,Bench,25,82,4,0,2,0,1,1,5,2,0,0,6,CHI,Loss
Justin Holiday,CHI,Home,Starter,34,78,25,5,1,2,3,6,15,9,2,1,3,PHO,Win
Kris Dunn,CHI,Home,Starter,33,76,24,8,4,4,1,4,16,10,0,0,4,PHO,Win
Lauri Markkanen,CHI,Home,Starter,34,84,12,4,0,0,1,2,15,4,2,1,6,PHO,Win
Robin Lopez,CHI,Home,Starter,34,84,10,3,2,0,1,1,15,4,2,2,7,PHO,Win
Bobby Portis,CHI,Home,Bench,18,83,9,1,0,0,0,1,5,3,2,2,4,PHO,Win
Jerian Grant,CHI,Home,Bench,21,77,6,2,0,1,0,1,7,3,0,0,3,PHO,Win
Antonio Blakeney,CHI,Home,Bench,11,76,6,0,1,0,0,0,8,2,2,1,4,PHO,Win
Otto Porter,WAS,Away,Starter,32,80,22,0,1,0,0,1,18,8,2,2,8,MIN,Loss
Kelly Oubre Jr.,WAS,Away,Bench,31,79,16,2,1,2,1,3,14,7,4,2,4,MIN,Loss
Mike Scott,WAS,Away,Bench,20,80,12,2,1,2,0,0,8,5,2,1,5,MIN,Loss
Jodie Meeks,WAS,Away,Bench,17,76,12,0,0,0,0,2,6,4,0,0,0,MIN,Loss
Marcin Gortat,WAS,Away,Starter,20,84,9,1,0,0,0,1,8,4,2,1,7,MIN,Loss
Bradley Beal,WAS,Away,Starter,34,77,8,6,1,0,1,1,11,2,6,4,2,MIN,Loss
Tomáš Satoranský,WAS,Away,Bench,22,79,7,6,0,1,0,0,6,3,0,0,5,MIN,Loss
Karl-Anthony Towns,MIN,Home,Starter,40,83,20,0,4,1,0,4,19,9,0,0,17,WAS,Win
Jimmy Butler,MIN,Home,Starter,38,79,17,10,1,1,0,1,17,5,4,4,7,WAS,Win
Taj Gibson,MIN,Home,Starter,41,81,16,1,1,0,0,2,13,8,2,0,11,WAS,Win
Andrew Wiggins,MIN,Home,Starter,37,80,13,4,1,0,1,2,15,5,3,2,2,WAS,Win
Tyus Jones,MIN,Home,Starter,40,72,12,7,0,1,0,3,9,4,3,2,4,WAS,Win
Jamal Crawford,MIN,Home,Bench,16,78,10,1,2,0,0,0,8,4,0,0,1,WAS,Win
Gorgui Dieng,MIN,Home,Bench,15,83,1,2,0,0,0,3,2,0,2,1,5,WAS,Win
Giannis Antetokounmpo,MIL,Away,Starter,26,82,32,5,2,5,1,4,16,11,13,9,5,SAC,Loss
Eric Bledsoe,MIL,Away,Starter,24,73,21,5,0,3,0,1,10,7,5,4,5,SAC,Loss
Khris Middleton,MIL,Away,Starter,24,79,12,2,2,1,0,4,7,4,3,2,4,SAC,Loss
Tony Snell,MIL,Away,Starter,30,79,9,2,1,1,1,1,3,3,2,1,2,SAC,Loss
John Henson,MIL,Away,Starter,24,83,9,1,1,0,3,2,8,4,2,1,5,SAC,Loss
Malcolm Brogdon,MIL,Away,Bench,20,78,9,5,1,1,0,0,7,4,2,1,6,SAC,Loss
Thon Maker,MIL,Away,Bench,20,85,8,0,0,0,0,3,7,4,2,0,5,SAC,Loss
Garrett Temple,SAC,Home,Starter,25,78,18,0,1,0,0,2,8,5,7,5,2,MIL,Win
Buddy Hield,SAC,Home,Bench,21,77,13,0,1,1,0,1,10,5,2,2,2,MIL,Win
Skal Labissière,SAC,Home,Starter,24,83,11,0,0,0,0,2,8,4,3,3,6,MIL,Win
Zach Randolph,SAC,Home,Starter,19,81,10,1,2,0,1,1,9,5,0,0,5,MIL,Win
Willie Cauley-Stein,SAC,Home,Bench,24,84,10,1,4,0,0,4,10,5,2,0,10,MIL,Win
Frank Mason,SAC,Home,Bench,24,71,8,7,3,1,0,1,9,3,2,2,2,MIL,Win
Bogdan Bogdanovic,SAC,Home,Bench,20,78,7,1,3,2,0,2,3,2,3,2,0,MIL,Win
Gary Harris,DEN,Away,Starter,33,76,18,1,2,0,1,2,16,6,2,2,3,UTA,Win
Kenneth Faried,DEN,Away,Starter,23,80,11,0,2,0,0,0,8,3,6,5,8,UTA,Win
Jamal Murray,DEN,Away,Starter,29,76,10,2,3,1,0,1,13,5,0,0,1,UTA,Win
Will Barton,DEN,Away,Bench,31,77,9,0,0,0,0,3,7,3,2,2,4,UTA,Win
Juan Hernangómez,DEN,Away,Starter,28,81,7,0,0,0,1,4,9,3,0,0,10,UTA,Win
Nikola Jokić,DEN,Away,Starter,26,82,7,6,2,1,1,1,7,3,0,0,6,UTA,Win
Emmanuel Mudiay,DEN,Away,Bench,19,77,6,3,5,1,1,1,6,2,2,2,3,UTA,Win
Derrick Favors,UTA,Home,Starter,33,82,24,5,1,1,3,1,16,12,0,0,9,DEN,Loss
Donovan Mitchell,UTA,Home,Starter,30,75,16,2,2,2,0,4,12,5,4,4,3,DEN,Loss
Jonas Jerebko,UTA,Home,Starter,27,81,15,2,0,0,1,2,10,6,0,0,8,DEN,Loss
Alec Burks,UTA,Home,Bench,20,78,14,0,0,1,0,2,10,4,3,3,4,DEN,Loss
Ricky Rubio,UTA,Home,Starter,29,76,13,5,1,1,1,3,10,5,2,1,4,DEN,Loss
Royce O'Neale,UTA,Home,Bench,21,78,11,1,1,0,0,1,7,4,0,0,1,DEN,Loss
Joe Ingles,UTA,Home,Starter,30,80,5,6,3,0,0,1,7,2,0,0,4,DEN,Loss
Devin Booker,PHO,Away,Starter,27,78,22,0,7,1,0,3,8,7,6,6,4,DET,Win
Josh Jackson,PHO,Away,Bench,32,80,20,1,2,3,0,2,19,9,4,2,7,DET,Win
Greg Monroe,PHO,Away,Starter,25,83,14,5,3,2,0,1,10,7,0,0,7,DET,Win
Tyler Ulis,PHO,Away,Starter,23,70,13,4,2,1,0,2,8,4,4,4,2,DET,Win
Marquese Chriss,PHO,Away,Starter,23,82,10,1,0,2,1,5,6,2,6,5,4,DET,Win
Mike James,PHO,Away,Bench,16,73,8,4,2,1,1,0,8,3,4,2,4,DET,Win
T.J. Warren,PHO,Away,Starter,23,80,7,0,1,0,1,0,6,2,4,3,2,DET,Win
Reggie Jackson,DET,Home,Starter,22,75,23,5,4,2,0,3,13,9,4,3,1,PHO,Loss
Avery Bradley,DET,Home,Starter,28,74,20,1,1,2,0,3,12,9,0,0,0,PHO,Loss
Tobias Harris,DET,Home,Starter,27,80,20,1,0,0,0,1,14,8,3,2,7,PHO,Loss
Ishmael Smith,DET,Home,Bench,21,72,14,6,1,0,1,0,10,6,3,2,3,PHO,Loss
Andre Drummond,DET,Home,Starter,28,83,13,7,2,1,1,2,8,5,3,3,7,PHO,Loss
Luke Kennard,DET,Home,Bench,26,78,12,6,2,2,0,3,8,4,2,2,2,PHO,Loss
Langston Galloway,DET,Home,Bench,20,74,9,1,1,0,1,2,8,3,0,0,4,PHO,Loss
Russell Westbrook,OKC,Away,Starter,38,75,37,5,7,5,0,3,23,11,12,8,11,ORL,Win
Paul George,OKC,Away,Starter,41,80,22,5,2,1,0,2,17,7,7,6,5,ORL,Win
Carmelo Anthony,OKC,Away,Starter,34,80,16,2,1,0,1,2,16,5,3,3,7,ORL,Win
André Roberson,OKC,Away,Starter,30,79,11,1,2,0,1,1,8,5,2,1,9,ORL,Win
Jerami Grant,OKC,Away,Bench,20,80,9,2,0,1,2,0,6,4,2,1,1,ORL,Win
Steven Adams,OKC,Away,Starter,28,84,6,0,0,1,1,4,10,3,2,0,8,ORL,Win
Raymond Felton,OKC,Away,Bench,16,73,5,2,1,0,0,1,9,2,2,1,4,ORL,Win
Aaron Gordon,ORL,Home,Starter,44,81,40,4,1,4,1,1,23,13,11,8,15,OKC,Loss
Elfrid Payton,ORL,Home,Starter,31,76,19,6,2,4,1,4,10,8,5,3,5,OKC,Loss
Evan Fournier,ORL,Home,Starter,33,79,16,3,3,0,1,3,12,5,3,3,1,OKC,Loss
Nikola Vučević,ORL,Home,Starter,31,82,15,7,0,0,0,3,13,7,2,1,7,OKC,Loss
D.J. Augustin,ORL,Home,Bench,17,72,11,3,0,1,0,1,5,4,2,1,1,OKC,Loss
Bismack Biyombo,ORL,Home,Bench,17,81,8,1,3,0,1,2,5,4,0,0,4,OKC,Loss
Jonathon Simmons,ORL,Home,Starter,33,78,6,2,2,0,0,5,3,2,3,2,0,OKC,Loss
Kelly Oubre Jr.,WAS,Away,Bench,29,79,22,4,3,1,1,6,15,7,7,7,7,PHI,Win
Bradley Beal,WAS,Away,Starter,23,77,21,1,0,1,0,6,12,6,5,5,4,PHI,Win
Jodie Meeks,WAS,Away,Bench,26,76,21,1,1,1,0,5,11,5,9,8,4,PHI,Win
Tomáš Satoranský,WAS,Away,Bench,29,79,12,8,0,0,0,5,7,4,4,4,2,PHI,Win
Otto Porter,WAS,Away,Starter,25,80,8,2,2,3,0,2,14,3,2,2,4,PHI,Win
Ian Mahinmi,WAS,Away,Bench,25,82,8,1,1,2,0,4,3,2,6,4,2,PHI,Win
Markieff Morris,WAS,Away,Starter,17,82,7,0,1,0,0,3,9,3,0,0,2,PHI,Win
Ben Simmons,PHI,Home,Starter,41,82,31,4,6,2,2,3,16,8,29,15,18,WAS,Loss
Joel Embiid,PHI,Home,Starter,32,84,25,4,3,1,4,6,15,6,18,13,14,WAS,Loss
Dario Saric,PHI,Home,Starter,32,82,24,2,1,1,0,2,12,8,7,7,8,WAS,Loss
Jerryd Bayless,PHI,Home,Bench,26,75,14,4,1,0,0,0,7,4,8,6,1,WAS,Loss
Robert Covington,PHI,Home,Starter,34,81,9,1,3,2,0,4,12,4,0,0,12,WAS,Loss
J.J. Redick,PHI,Home,Starter,30,76,8,4,1,0,1,4,12,4,0,0,0,WAS,Loss
T.J. McConnell,PHI,Home,Bench,16,74,4,1,1,0,0,4,2,2,0,0,2,WAS,Loss
Kelly Olynyk,MIA,Away,Bench,25,84,18,2,4,0,1,5,11,6,3,3,5,NY,Win
Josh Richardson,MIA,Away,Starter,30,78,13,1,2,3,1,3,14,5,2,1,3,NY,Win
Tyler Johnson,MIA,Away,Bench,29,76,13,3,2,2,1,1,11,5,2,2,1,NY,Win
Dion Waiters,MIA,Away,Starter,30,76,10,8,1,1,1,2,10,3,6,3,1,NY,Win
Bam Adebayo,MIA,Away,Starter,31,82,9,0,1,2,0,3,5,4,2,1,5,NY,Win
James Johnson,MIA,Away,Bench,19,81,9,1,2,1,0,5,7,3,3,1,4,NY,Win
Goran Dragić,MIA,Away,Starter,23,76,6,3,0,0,0,1,12,3,0,0,2,NY,Win
Enes Kanter,NY,Home,Starter,25,83,22,1,1,1,0,2,9,7,9,8,14,MIA,Loss
Courtney Lee,NY,Home,Starter,28,77,17,2,1,3,1,0,9,5,5,5,5,MIA,Loss
Tim Hardaway Jr.,NY,Home,Starter,29,78,12,2,2,1,0,3,11,5,2,1,0,MIA,Loss
Doug McDermott,NY,Home,Bench,29,80,12,1,1,0,1,2,7,6,1,0,2,MIA,Loss
Kyle O'Quinn,NY,Home,Bench,14,82,9,1,3,1,0,4,4,4,1,1,7,MIA,Loss
Ramon Sessions,NY,Home,Bench,24,75,8,6,2,1,0,1,9,3,2,2,0,MIA,Loss
Lance Thomas,NY,Home,Bench,21,80,8,2,1,0,0,2,2,1,6,5,4,MIA,Loss
Dwight Howard,CHA,Away,Starter,31,83,22,3,1,1,0,1,12,8,8,6,10,TOR,Win
Jeremy Lamb,CHA,Away,Bench,29,77,18,3,1,1,1,4,13,7,2,2,3,TOR,Win
Frank Kaminsky,CHA,Away,Bench,28,85,18,2,0,0,0,2,13,7,2,2,7,TOR,Win
Michael Kidd-Gilchrist,CHA,Away,Starter,28,79,12,1,0,0,0,1,8,4,5,4,1,TOR,Win
Nicolas Batum,CHA,Away,Starter,33,80,10,5,3,1,0,1,9,3,3,3,1,TOR,Win
Michael Carter-Williams,CHA,Away,Starter,32,78,9,5,5,0,0,3,10,1,7,7,6,TOR,Win
Malik Monk,CHA,Away,Bench,16,75,9,4,0,0,1,2,6,3,0,0,2,TOR,Win
Kyle Lowry,TOR,Home,Starter,37,72,36,6,3,1,0,4,18,12,4,4,5,CHA,Loss
DeMar DeRozan,TOR,Home,Starter,35,79,30,6,1,0,0,3,22,14,3,2,4,CHA,Loss
Jonas Valančiūnas,TOR,Home,Starter,22,84,12,0,1,0,0,5,12,6,0,0,7,CHA,Loss
Norman Powell,TOR,Home,Bench,17,76,10,0,1,0,0,0,7,3,2,2,4,CHA,Loss
Serge Ibaka,TOR,Home,Starter,30,83,8,1,2,1,1,0,12,4,0,0,8,CHA,Loss
Fred VanVleet,TOR,Home,Bench,19,72,8,9,0,0,0,2,6,3,1,0,1,CHA,Loss
Jakob Pöltl,TOR,Home,Bench,17,85,8,0,0,1,0,4,5,4,1,0,0,CHA,Loss
Thaddeus Young,IND,Away,Starter,31,80,23,2,2,0,0,1,15,11,0,0,4,HOU,Win
Victor Oladipo,IND,Away,Starter,34,76,19,5,2,5,2,1,20,8,2,2,3,HOU,Win
Bojan Bogdanović,IND,Away,Starter,31,80,15,0,1,1,0,2,12,6,0,0,1,HOU,Win
Myles Turner,IND,Away,Starter,31,84,15,1,4,0,4,2,14,6,3,3,10,HOU,Win
Lance Stephenson,IND,Away,Bench,25,77,11,4,0,1,0,2,8,5,0,0,4,HOU,Win
Darren Collison,IND,Away,Starter,32,72,5,5,2,1,0,4,8,2,0,0,6,HOU,Win
Joseph Young,IND,Away,Bench,4,74,5,0,2,0,0,0,4,2,1,1,0,HOU,Win
James Harden,HOU,Home,Starter,35,77,29,10,1,1,0,2,22,8,9,9,8,IND,Loss
Clint Capela,HOU,Home,Starter,28,82,22,1,2,2,0,2,15,10,2,2,13,IND,Loss
Ryan Anderson,HOU,Home,Starter,31,82,19,2,3,0,0,1,11,6,2,2,9,IND,Loss
Trevor Ariza,HOU,Home,Starter,26,80,14,1,4,3,0,1,7,5,0,0,2,IND,Loss
Chris Paul,HOU,Home,Starter,30,72,13,7,2,0,0,0,8,5,2,1,6,IND,Loss
Eric Gordon,HOU,Home,Bench,26,75,10,3,3,1,0,2,10,4,4,1,1,IND,Loss
P.J. Tucker,HOU,Home,Bench,21,77,6,0,2,0,0,1,3,2,0,0,0,IND,Loss
Andrew Wiggins,MIN,Away,Starter,37,80,28,5,2,0,1,1,18,10,5,5,8,NO,Loss
Jimmy Butler,MIN,Away,Starter,33,79,19,3,2,1,0,0,12,8,2,2,4,NO,Loss
Gorgui Dieng,MIN,Away,Bench,37,83,19,5,2,4,0,4,13,8,2,2,6,NO,Loss
Tyus Jones,MIN,Away,Starter,42,72,16,6,1,4,0,1,9,6,3,2,4,NO,Loss
Jamal Crawford,MIN,Away,Bench,26,78,12,3,1,0,0,0,11,5,3,2,1,NO,Loss
Karl-Anthony Towns,MIN,Away,Starter,21,83,11,3,6,0,0,5,7,4,2,2,10,NO,Loss
Taj Gibson,MIN,Away,Starter,38,81,10,4,2,1,0,1,7,4,2,2,10,NO,Loss
Jrue Holiday,NO,Home,Starter,38,75,27,5,3,2,1,2,20,10,2,2,1,MIN,Win
DeMarcus Cousins,NO,Home,Starter,39,83,17,6,4,1,1,2,15,7,3,2,10,MIN,Win
Anthony Davis,NO,Home,Starter,18,82,17,0,2,0,0,2,13,7,3,3,5,MIN,Win
Darius Miller,NO,Home,Bench,25,80,12,1,1,1,0,2,10,4,0,0,0,MIN,Win
Jameer Nelson,NO,Home,Bench,27,72,7,3,1,2,0,1,4,3,0,0,1,MIN,Win
Tony Allen,NO,Home,Bench,16,76,7,2,2,0,0,1,6,2,2,2,3,MIN,Win
E'Twaun Moore,NO,Home,Starter,27,76,5,1,0,1,0,1,8,2,1,1,2,MIN,Win
DeMarre Carroll,BKN,Away,Starter,34,80,22,1,2,0,0,2,14,7,5,4,7,DAL,Loss
Spencer Dinwiddie,BKN,Away,Starter,33,78,19,6,1,0,1,5,15,6,8,5,3,DAL,Loss
Trevor Booker,BKN,Away,Starter,28,79,16,2,3,0,0,3,13,8,2,0,10,DAL,Loss
Caris LeVert,BKN,Away,Bench,28,79,13,5,0,1,0,2,13,5,2,1,6,DAL,Loss
Joe Harris,BKN,Away,Starter,30,78,11,2,0,0,0,2,9,4,3,2,4,DAL,Loss
Tyler Zeller,BKN,Away,Starter,22,84,9,4,3,2,0,2,6,4,3,1,7,DAL,Loss
Jarrett Allen,BKN,Away,Bench,16,83,6,0,0,1,0,0,4,3,0,0,6,DAL,Loss
Harrison Barnes,DAL,Home,Starter,36,80,17,6,1,2,0,1,10,5,8,7,8,BKN,Win
Maxi Kleber,DAL,Home,Starter,23,81,16,0,1,0,1,5,11,7,0,0,7,BKN,Win
Dwight Powell,DAL,Home,Bench,20,83,14,3,2,1,1,1,8,6,2,1,7,BKN,Win
Devin Harris,DAL,Home,Bench,23,75,11,3,2,2,0,6,8,5,1,0,2,BKN,Win
Dirk Nowitzki,DAL,Home,Starter,26,83,10,1,0,0,0,2,9,4,0,0,7,BKN,Win
Dennis Smith,DAL,Home,Starter,25,75,10,3,2,0,0,1,11,3,4,4,2,BKN,Win
Jose Barea,DAL,Home,Bench,22,72,9,6,2,0,0,2,12,4,0,0,3,BKN,Win
Tyreke Evans,MEM,Away,Starter,31,78,22,5,4,0,0,2,17,9,2,1,3,SA,Win
James Ennis,MEM,Away,Bench,23,79,15,1,3,2,0,2,6,4,6,6,5,SA,Win
Andrew Harrison,MEM,Away,Bench,24,78,13,2,1,0,0,1,9,5,2,1,6,SA,Win
Marc Gasol,MEM,Away,Starter,36,84,10,7,2,0,0,2,11,4,2,2,6,SA,Win
Ben McLemore,MEM,Away,Starter,27,77,10,1,1,1,0,3,10,3,2,2,3,SA,Win
